%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1752630098234497070,119,1752630098234497070,map,0.639122927543,0.0247101468027,0.266519370883,-0.0101009865663,-0.00321497527193,0.0261615312621,0.999601530616
1752630099234452962,120,1752630099234452962,map,0.620934978665,0.0331964633721,0.260780292406,-0.0171108616416,-0.00286479226764,0.043042346614,0.998922594636
1752630100234492063,121,1752630100234492063,map,0.605711507234,0.0389000631745,0.253946220171,-0.0225024801462,-0.00319748008256,0.056191481572,0.998161272036
1752630101234487056,122,1752630101234487056,map,0.590169209366,0.0445998264844,0.246875651347,-0.0298434685694,-0.00339952900517,0.0746099720381,0.996760336042
1752630102234502077,123,1752630102234502077,map,0.567984903642,0.0559572144786,0.238422708053,-0.0396990001733,-0.0039850675975,0.0963778948177,0.994544825795
1752630103234508037,124,1752630103234508037,map,0.54840697038,0.0614475561066,0.23047700836,-0.0473779661764,-0.0041528986187,0.109620960123,0.992834998786
1752630104234503030,125,1752630104234503030,map,0.527592085564,0.0676315780451,0.222327725377,-0.0541651815649,-0.004793155988,0.126390872176,0.990489024087
1752630105234190940,126,1752630105234190940,map,0.508313668816,0.0723311066092,0.215352981495,-0.0602175211861,-0.00434858943567,0.135434228151,0.988945153734
1752630106234519958,127,1752630106234519958,map,0.48874241597,0.0768228417337,0.207753124983,-0.0658120758727,-0.00422994823126,0.149627160754,0.986540720472
1752630107234474897,128,1752630107234474897,map,0.47295150946,0.0828908809636,0.197330379821,-0.0732303302159,-0.0057062775676,0.172582011387,0.982252625889
1752630108234529972,129,1752630108234529972,map,0.45349368315,0.0842373371764,0.195517977642,-0.0818284322832,-0.00115231556236,0.187914061437,0.978770194375
1752630109237365007,130,1752630109237365007,map,0.435811405152,0.0868376104227,0.191793260687,-0.088506244827,0.00131681079253,0.193927759626,0.977014299786
1752630110234519958,131,1752630110234519958,map,0.418171134411,0.086093081948,0.184547686255,-0.091626108135,-0.000100854525062,0.193811729095,0.976750561726
1752630111234545946,132,1752630111234545946,map,0.399164342502,0.0852200567904,0.175555400459,-0.0903489033486,-0.00168316194065,0.188215622499,0.977961720376
1752630112234484910,133,1752630112234484910,map,0.38582288552,0.0830545491289,0.168422599026,-0.0878260715596,-0.00322699114341,0.178003084439,0.980097476225
1752630113238013029,134,1752630113238013029,map,0.369257207138,0.075896305601,0.161754679997,-0.0817128838686,-0.00382647431484,0.165895348173,0.982744675799
1752630114234716892,135,1752630114234716892,map,0.356556333997,0.0683872024575,0.155695312872,-0.0742166750575,-0.00443871489956,0.148597541125,0.986098853932
1752630115234699010,136,1752630115234699010,map,0.345739033077,0.0620293799787,0.147912075378,-0.0668778935072,-0.00630639238513,0.131453102143,0.989043812327
1752630116237900972,137,1752630116237900972,map,0.332840263266,0.0557132846678,0.141836598448,-0.0613729461815,-0.00694677302599,0.114690406659,0.99147929801
1752630117234631061,138,1752630117234631061,map,0.326924618319,0.0481868872322,0.135810422412,-0.0519357678601,-0.00795248055727,0.0907369840962,0.994487926621
1752630118234607934,139,1752630118234607934,map,0.319349253225,0.0399993058372,0.12995136931,-0.042237027559,-0.00874285337488,0.0676625404647,0.99677548734
1752630119234735012,140,1752630119234735012,map,0.308202025343,0.0308968174096,0.124679361154,-0.0333210823709,-0.00905412293029,0.0459809264373,0.998345369616
1752630120234536886,141,1752630120234536886,map,0.296577003299,0.0227936049764,0.118344636379,-0.0248381714755,-0.00874757493317,0.0257346716543,0.999321908823
1752630121234870910,142,1752630121234870910,map,0.279405364534,0.0206831477042,0.114992661188,-0.0194883452258,-0.00584485866029,0.0223257118113,0.999543696844
1752630122240365982,143,1752630122240365982,map,0.261986996031,0.00582110891968,0.108509297519,-0.0171301691206,-0.00806457381203,0.0156389392463,0.999698422078
1752630123234433889,144,1752630123234433889,map,0.253493773753,-0.00277755621001,0.0982907636587,-0.0105142456684,-0.0101497920951,-0.00952567002556,0.999847840117
1752630124240859031,145,1752630124240859031,map,0.241981713447,-0.0116114849512,0.0904272648757,-0.00396891243304,-0.0109829653667,-0.0316286909882,0.999431455937
1752630125235266923,146,1752630125235266923,map,0.23190338482,-0.0218276987828,0.082106769393,0.00457966534051,-0.0120825772808,-0.0543609060079,0.998437741478
1752630126236107110,147,1752630126236107110,map,0.223348853324,-0.0319079402069,0.0735410288094,0.0123598272283,-0.0131840996273,-0.0769435045588,0.996871666918
1752630127234471082,148,1752630127234471082,map,0.216660922455,-0.0418025813195,0.0673212614265,0.0201169650369,-0.0135162894315,-0.0966930068995,0.995019138586
1752630128234469890,149,1752630128234469890,map,0.210263386511,-0.0515021753409,0.059990223446,0.0281577852,-0.01420843016,-0.114903394261,0.992875859127
1752630129234479904,150,1752630129234479904,map,0.201859009473,-0.0650490854691,0.0574262615468,0.0415735241432,-0.0135119984836,-0.139017029155,0.989324689828
1752630130235804080,151,1752630130235804080,map,0.19202967994,-0.0738860973883,0.0501483547637,0.0466435481115,-0.0134159118825,-0.156172143516,0.986536695127
1752630131234464883,152,1752630131234464883,map,0.170691010929,-0.0779725251794,0.0503259862254,0.0492402490429,-0.00941935457021,-0.16020668197,0.98580956755
1752630132234517097,153,1752630132234517097,map,0.158806475334,-0.0779651203637,0.0453026098011,0.0495534907563,-0.00813397887855,-0.164815046069,0.985045318348
1752630133234473943,154,1752630133234473943,map,0.150019218823,-0.0794805084851,0.0395923454368,0.0512634443343,-0.00755772830068,-0.169387651396,0.984186343628
1752630134234518051,155,1752630134234518051,map,0.137744668861,-0.078829798109,0.0333619048675,0.0511213860587,-0.0067096451345,-0.169280006288,0.984218403304
1752630135234616041,156,1752630135234616041,map,0.125185902603,-0.0750443413659,0.0296794218109,0.0496707217863,-0.00602344281134,-0.162075688241,0.985509014877
